uniprot_id,drug_id,interaction
P43403,CHEMBL1765781,0
P45983,CHEMBL1765781,1
P49841,CHEMBL1765781,1
P51813,CHEMBL1765781,1
P52333,CHEMBL1765781,1
P52564,CHEMBL1765781,1
Q02750,CHEMBL1765781,1
Q02763,CHEMBL1765781,1
Q04759,CHEMBL1765781,0
Q04912,CHEMBL1765781,1
Q05397,CHEMBL1765781,1
Q06187,CHEMBL1765781,1
Q08881,CHEMBL1765781,1
Q13188,CHEMBL1765781,1
Q13627,CHEMBL1765781,1
Q15303,CHEMBL1765781,1
Q15418,CHEMBL1765781,1
Q15759,CHEMBL1765781,1
Q16513,CHEMBL1765781,1
Q16539,CHEMBL1765781,1
Q16566,CHEMBL1765781,1
Q8IU85,CHEMBL1765781,1
Q8IW41,CHEMBL1765781,1
Q9H4B4,CHEMBL1765781,1
Q9NWZ3,CHEMBL1765781,1
Q9UHD2,CHEMBL1765781,1
O00141,CHEMBL1788116,0
O14757,CHEMBL1788116,0
O14920,CHEMBL1788116,0
O15530,CHEMBL1788116,0
O75116,CHEMBL1788116,0
O75582,CHEMBL1788116,0
P00533,CHEMBL1788116,0
P04049,CHEMBL1788116,0
P12931,CHEMBL1788116,0
P17252,CHEMBL1788116,0
P23443,CHEMBL1788116,0
P24941,CHEMBL1788116,0
P27361,CHEMBL1788116,0
P31749,CHEMBL1788116,0
P45983,CHEMBL1788116,1
P45984,CHEMBL1788116,1
P49137,CHEMBL1788116,0
P51451,CHEMBL1788116,0
P51812,CHEMBL1788116,0
P52564,CHEMBL1788116,0
P53779,CHEMBL1788116,1
Q02750,CHEMBL1788116,0
Q16539,CHEMBL1788116,0
Q8IW41,CHEMBL1788116,0
Q9UBS0,CHEMBL1788116,0
O00141,CHEMBL1929238,0
O14757,CHEMBL1929238,0
O14920,CHEMBL1929238,0
O14965,CHEMBL1929238,0
O15264,CHEMBL1929238,0
O43293,CHEMBL1929238,0
O60285,CHEMBL1929238,0
O60674,CHEMBL1929238,0
O75116,CHEMBL1929238,0
O75582,CHEMBL1929238,0
O75676,CHEMBL1929238,0
O96013,CHEMBL1929238,0
O96017,CHEMBL1929238,0
P00519,CHEMBL1929238,0
P00533,CHEMBL1929238,0
P04629,CHEMBL1929238,0
P05129,CHEMBL1929238,0
P05771,CHEMBL1929238,0
P06213,CHEMBL1929238,0
P06239,CHEMBL1929238,0
P06241,CHEMBL1929238,0
P06493,CHEMBL1929238,0
P07332,CHEMBL1929238,0
P07333,CHEMBL1929238,0
P07947,CHEMBL1929238,0
P07948,CHEMBL1929238,0
P07949,CHEMBL1929238,0
P08069,CHEMBL1929238,0
P08581,CHEMBL1929238,0
P08631,CHEMBL1929238,0
P08922,CHEMBL1929238,0
P09619,CHEMBL1929238,0
P09769,CHEMBL1929238,0
P11309,CHEMBL1929238,0
P11362,CHEMBL1929238,0
P12931,CHEMBL1929238,0
P15735,CHEMBL1929238,0
P16234,CHEMBL1929238,0
P16591,CHEMBL1929238,0
P17252,CHEMBL1929238,0
P17948,CHEMBL1929238,0
P21802,CHEMBL1929238,0
P22455,CHEMBL1929238,0
P22607,CHEMBL1929238,0
P23443,CHEMBL1929238,0
P24723,CHEMBL1929238,0
P24941,CHEMBL1929238,0
P27361,CHEMBL1929238,0
P28482,CHEMBL1929238,0
P29317,CHEMBL1929238,0
P29323,CHEMBL1929238,0
P30530,CHEMBL1929238,0
P31749,CHEMBL1929238,0
P31751,CHEMBL1929238,0
P34947,CHEMBL1929238,0
P35916,CHEMBL1929238,0
P35968,CHEMBL1929238,0
P36888,CHEMBL1929238,0
P41240,CHEMBL1929238,0
P42684,CHEMBL1929238,0
P43403,CHEMBL1929238,0
P43405,CHEMBL1929238,0
P45983,CHEMBL1929238,0
P45984,CHEMBL1929238,0
P48729,CHEMBL1929238,0
P49137,CHEMBL1929238,0
P49841,CHEMBL1929238,0
P50750,CHEMBL1929238,0
P51451,CHEMBL1929238,0
P51617,CHEMBL1929238,0
P51813,CHEMBL1929238,0
P51817,CHEMBL1929238,0
P52333,CHEMBL1929238,0
P53350,CHEMBL1929238,0
P53778,CHEMBL1929238,0
P53779,CHEMBL1929238,0
P54760,CHEMBL1929238,0
P68400,CHEMBL1929238,0
P80192,CHEMBL1929238,0
Q00535,CHEMBL1929238,0
Q02763,CHEMBL1929238,0
Q04759,CHEMBL1929238,0
Q04912,CHEMBL1929238,0
Q05397,CHEMBL1929238,0
Q05655,CHEMBL1929238,0
Q06187,CHEMBL1929238,0
Q13177,CHEMBL1929238,0
Q13188,CHEMBL1929238,0
Q13464,CHEMBL1929238,0
Q13554,CHEMBL1929238,0
Q13557,CHEMBL1929238,0
Q13882,CHEMBL1929238,0
Q13976,CHEMBL1929238,0
Q14289,CHEMBL1929238,0
Q15078,CHEMBL1929238,0
Q15118,CHEMBL1929238,0
Q15139,CHEMBL1929238,0
Q15303,CHEMBL1929238,0
Q15418,CHEMBL1929238,0
Q15759,CHEMBL1929238,1
Q16539,CHEMBL1929238,1
Q16620,CHEMBL1929238,0
Q16644,CHEMBL1929238,0
Q7KZI7,CHEMBL1929238,0
Q8IW41,CHEMBL1929238,0
Q8N4C8,CHEMBL1929238,0
Q8TDC3,CHEMBL1929238,0
Q96PF2,CHEMBL1929238,0
Q96RG2,CHEMBL1929238,0
Q99683,CHEMBL1929238,0
Q9H4B4,CHEMBL1929238,0
Q9NWZ3,CHEMBL1929238,0
Q9P1W9,CHEMBL1929238,0
Q9UBE8,CHEMBL1929238,0
Q9UEE5,CHEMBL1929238,0
Q9UHD2,CHEMBL1929238,0
Q9UM73,CHEMBL1929238,0
Q9Y243,CHEMBL1929238,0
O00141,CHEMBL1933552,0
O14757,CHEMBL1933552,0
O14920,CHEMBL1933552,0
O14965,CHEMBL1933552,0
O96013,CHEMBL1933552,0
O96017,CHEMBL1933552,0
P00519,CHEMBL1933552,0
P00533,CHEMBL1933552,0
P04629,CHEMBL1933552,0
P06213,CHEMBL1933552,0
P06239,CHEMBL1933552,0
P08581,CHEMBL1933552,0
P11362,CHEMBL1933552,0
P12931,CHEMBL1933552,0
P24941,CHEMBL1933552,0
P28482,CHEMBL1933552,0
P30530,CHEMBL1933552,0
P31749,CHEMBL1933552,0
P35968,CHEMBL1933552,0
P48730,CHEMBL1933552,0
P49137,CHEMBL1933552,0
P49841,CHEMBL1933552,0
Q05513,CHEMBL1933552,0
Q06187,CHEMBL1933552,0
Q12866,CHEMBL1933552,1
Q14164,CHEMBL1933552,0
Q15118,CHEMBL1933552,0
Q9P1W9,CHEMBL1933552,0
O00141,CHEMBL202930,0
O14757,CHEMBL202930,1
O96017,CHEMBL202930,0
P00533,CHEMBL202930,0
P05129,CHEMBL202930,0
P06493,CHEMBL202930,0
P12931,CHEMBL202930,0
P19784,CHEMBL202930,0
P49137,CHEMBL202930,0
P67870,CHEMBL202930,0
P68400,CHEMBL202930,0
Q02763,CHEMBL202930,0
Q05655,CHEMBL202930,0
O00141,CHEMBL204420,0
O14757,CHEMBL204420,0
O15264,CHEMBL204420,0
O43741,CHEMBL204420,0
O75116,CHEMBL204420,0
P00533,CHEMBL204420,1
P06239,CHEMBL204420,0
P12931,CHEMBL204420,0
P17612,CHEMBL204420,0
P22612,CHEMBL204420,0
P22694,CHEMBL204420,0
P28482,CHEMBL204420,0
P35968,CHEMBL204420,0
P45983,CHEMBL204420,0
P45984,CHEMBL204420,0
P49841,CHEMBL204420,0
P53778,CHEMBL204420,0
P53779,CHEMBL204420,0
P54619,CHEMBL204420,0
P54646,CHEMBL204420,0
Q13131,CHEMBL204420,0
Q15759,CHEMBL204420,0
Q16539,CHEMBL204420,0
Q9UGI9,CHEMBL204420,0
Q9UGJ0,CHEMBL204420,0
Q9Y478,CHEMBL204420,0
O00141,CHEMBL206783,0
O14757,CHEMBL206783,0
O15264,CHEMBL206783,0
O43741,CHEMBL206783,0
O75116,CHEMBL206783,0
P00533,CHEMBL206783,1
P06239,CHEMBL206783,0
P12931,CHEMBL206783,0
P17612,CHEMBL206783,0
P22612,CHEMBL206783,0
P22694,CHEMBL206783,0
P28482,CHEMBL206783,0
P35968,CHEMBL206783,0
P45983,CHEMBL206783,0
P45984,CHEMBL206783,0
P49841,CHEMBL206783,0
P53778,CHEMBL206783,0
P53779,CHEMBL206783,0
P54619,CHEMBL206783,0
P54646,CHEMBL206783,0
Q13131,CHEMBL206783,0
Q15759,CHEMBL206783,0
Q16539,CHEMBL206783,0
Q9UGI9,CHEMBL206783,0
Q9UGJ0,CHEMBL206783,0
Q9Y478,CHEMBL206783,0
O00141,CHEMBL206955,0
O14757,CHEMBL206955,0
O15264,CHEMBL206955,0
O43741,CHEMBL206955,0
O75116,CHEMBL206955,0
P00533,CHEMBL206955,1
P06239,CHEMBL206955,0
P12931,CHEMBL206955,0
P17612,CHEMBL206955,0
P22612,CHEMBL206955,0
P22694,CHEMBL206955,0
P28482,CHEMBL206955,0
P35968,CHEMBL206955,0
P45983,CHEMBL206955,0
P45984,CHEMBL206955,0
P49841,CHEMBL206955,0
P53778,CHEMBL206955,0
P53779,CHEMBL206955,0
P54619,CHEMBL206955,0
P54646,CHEMBL206955,0
Q13131,CHEMBL206955,0
Q15759,CHEMBL206955,0
Q16539,CHEMBL206955,0
Q9UGI9,CHEMBL206955,0
Q9UGJ0,CHEMBL206955,0
Q9Y478,CHEMBL206955,0
O00141,CHEMBL207037,0
O14757,CHEMBL207037,0
O15264,CHEMBL207037,0
O43741,CHEMBL207037,0
O75116,CHEMBL207037,0
P00533,CHEMBL207037,1
P06239,CHEMBL207037,0
P12931,CHEMBL207037,0
P17612,CHEMBL207037,0
P22612,CHEMBL207037,0
P22694,CHEMBL207037,0
P28482,CHEMBL207037,0
P35968,CHEMBL207037,0
P45983,CHEMBL207037,0
P45984,CHEMBL207037,0
P49841,CHEMBL207037,0
P53778,CHEMBL207037,0
P53779,CHEMBL207037,0
P54619,CHEMBL207037,0
P54646,CHEMBL207037,0
Q13131,CHEMBL207037,0
Q15759,CHEMBL207037,0
Q16539,CHEMBL207037,0
Q9UGI9,CHEMBL207037,0
Q9UGJ0,CHEMBL207037,0
Q9Y478,CHEMBL207037,0
O00141,CHEMBL207130,0
O14757,CHEMBL207130,0
O15264,CHEMBL207130,0
O43741,CHEMBL207130,0
O75116,CHEMBL207130,0
P00533,CHEMBL207130,1
P06239,CHEMBL207130,0
P12931,CHEMBL207130,0
P17612,CHEMBL207130,0
P22612,CHEMBL207130,0
P22694,CHEMBL207130,0
P28482,CHEMBL207130,0
P35968,CHEMBL207130,0
P45983,CHEMBL207130,0
P45984,CHEMBL207130,0
P49841,CHEMBL207130,0
P53778,CHEMBL207130,0
P53779,CHEMBL207130,0
P54619,CHEMBL207130,0
P54646,CHEMBL207130,0
Q13131,CHEMBL207130,0
Q15759,CHEMBL207130,0
Q16539,CHEMBL207130,0
Q9UGI9,CHEMBL207130,0
Q9UGJ0,CHEMBL207130,0
Q9Y478,CHEMBL207130,0
O00141,CHEMBL207235,0
O14757,CHEMBL207235,0
O15264,CHEMBL207235,0
O43741,CHEMBL207235,0
O75116,CHEMBL207235,0
P00533,CHEMBL207235,1
P06239,CHEMBL207235,0
P12931,CHEMBL207235,0
P17612,CHEMBL207235,0
P22612,CHEMBL207235,0
P22694,CHEMBL207235,0
P28482,CHEMBL207235,0
P35968,CHEMBL207235,0
P45983,CHEMBL207235,0
P45984,CHEMBL207235,0
P49841,CHEMBL207235,0
P53778,CHEMBL207235,0
P53779,CHEMBL207235,0
P54619,CHEMBL207235,0
P54646,CHEMBL207235,0
Q13131,CHEMBL207235,0
Q15759,CHEMBL207235,0
Q16539,CHEMBL207235,0
Q9UGI9,CHEMBL207235,0
Q9UGJ0,CHEMBL207235,0
Q9Y478,CHEMBL207235,0
O00141,CHEMBL207246,0
O14757,CHEMBL207246,0
O15264,CHEMBL207246,0
O43741,CHEMBL207246,0
O75116,CHEMBL207246,0
P00533,CHEMBL207246,1
P06239,CHEMBL207246,0
P12931,CHEMBL207246,0
P17612,CHEMBL207246,0
P22612,CHEMBL207246,0
P22694,CHEMBL207246,0
P28482,CHEMBL207246,0
P35968,CHEMBL207246,0
P45983,CHEMBL207246,0
P45984,CHEMBL207246,0
P49841,CHEMBL207246,0
P53778,CHEMBL207246,0
P53779,CHEMBL207246,0
P54619,CHEMBL207246,0
P54646,CHEMBL207246,0
Q13131,CHEMBL207246,0
Q15759,CHEMBL207246,0
Q16539,CHEMBL207246,0
Q9UGI9,CHEMBL207246,0
Q9UGJ0,CHEMBL207246,0
Q9Y478,CHEMBL207246,0
O00141,CHEMBL207445,0
O14757,CHEMBL207445,0
O15264,CHEMBL207445,0
O43741,CHEMBL207445,0
O75116,CHEMBL207445,0
P00533,CHEMBL207445,1
P06239,CHEMBL207445,0
P12931,CHEMBL207445,0
P17612,CHEMBL207445,0
P22612,CHEMBL207445,0
P22694,CHEMBL207445,0
P28482,CHEMBL207445,0
P35968,CHEMBL207445,0
P45983,CHEMBL207445,0
P45984,CHEMBL207445,0
P49841,CHEMBL207445,0
P53778,CHEMBL207445,0
P53779,CHEMBL207445,0
P54619,CHEMBL207445,0
P54646,CHEMBL207445,0
Q13131,CHEMBL207445,0
Q15759,CHEMBL207445,0
Q16539,CHEMBL207445,0
Q9UGI9,CHEMBL207445,0
Q9UGJ0,CHEMBL207445,0
Q9Y478,CHEMBL207445,0
O00141,CHEMBL207584,0
O14757,CHEMBL207584,0
O15264,CHEMBL207584,0
O43741,CHEMBL207584,0
O75116,CHEMBL207584,0
P00533,CHEMBL207584,1
P06239,CHEMBL207584,0
P12931,CHEMBL207584,0
P17612,CHEMBL207584,0
P22612,CHEMBL207584,0
P22694,CHEMBL207584,0
P28482,CHEMBL207584,0
P35968,CHEMBL207584,0
P45983,CHEMBL207584,0
P45984,CHEMBL207584,0
P49841,CHEMBL207584,0
P53778,CHEMBL207584,0
P53779,CHEMBL207584,0
P54619,CHEMBL207584,0
P54646,CHEMBL207584,0
Q13131,CHEMBL207584,0
Q15759,CHEMBL207584,0
Q16539,CHEMBL207584,0
Q9UGI9,CHEMBL207584,0
Q9UGJ0,CHEMBL207584,0
Q9Y478,CHEMBL207584,0
O00141,CHEMBL207674,0
O14757,CHEMBL207674,0
O15264,CHEMBL207674,0
O43741,CHEMBL207674,0
O75116,CHEMBL207674,0
P00533,CHEMBL207674,1
P06239,CHEMBL207674,0
P12931,CHEMBL207674,0
P17612,CHEMBL207674,0
P22612,CHEMBL207674,0
P22694,CHEMBL207674,0
P28482,CHEMBL207674,0
P35968,CHEMBL207674,0
P45983,CHEMBL207674,0
P45984,CHEMBL207674,0
P49841,CHEMBL207674,0
P53778,CHEMBL207674,0
P53779,CHEMBL207674,0
P54619,CHEMBL207674,0
P54646,CHEMBL207674,0
Q13131,CHEMBL207674,0
Q15759,CHEMBL207674,0
Q16539,CHEMBL207674,0
Q9UGI9,CHEMBL207674,0
Q9UGJ0,CHEMBL207674,0
Q9Y478,CHEMBL207674,0
O00141,CHEMBL207687,0
O14757,CHEMBL207687,0
O15264,CHEMBL207687,0
O43741,CHEMBL207687,0
O75116,CHEMBL207687,0
P00533,CHEMBL207687,1
P06239,CHEMBL207687,0
P12931,CHEMBL207687,0
P17612,CHEMBL207687,0
P22612,CHEMBL207687,0
P22694,CHEMBL207687,0
P28482,CHEMBL207687,0
P35968,CHEMBL207687,0
P45983,CHEMBL207687,0
P45984,CHEMBL207687,0
P49841,CHEMBL207687,0
P53778,CHEMBL207687,0
P53779,CHEMBL207687,0
P54619,CHEMBL207687,0
P54646,CHEMBL207687,0
Q13131,CHEMBL207687,0
Q15759,CHEMBL207687,0
Q16539,CHEMBL207687,0
Q9UGI9,CHEMBL207687,0
Q9UGJ0,CHEMBL207687,0
Q9Y478,CHEMBL207687,0
O00141,CHEMBL207718,0
O14757,CHEMBL207718,0
O15264,CHEMBL207718,0
O43741,CHEMBL207718,0
O75116,CHEMBL207718,0
P00533,CHEMBL207718,1
P06239,CHEMBL207718,0
P12931,CHEMBL207718,0
P17612,CHEMBL207718,0
P22612,CHEMBL207718,0
P22694,CHEMBL207718,0
P28482,CHEMBL207718,0
P35968,CHEMBL207718,0
P45983,CHEMBL207718,0
P45984,CHEMBL207718,0
P49841,CHEMBL207718,0
P53778,CHEMBL207718,0
P53779,CHEMBL207718,0
P54619,CHEMBL207718,0
P54646,CHEMBL207718,0
Q13131,CHEMBL207718,0
Q15759,CHEMBL207718,0
Q16539,CHEMBL207718,0
Q9UGI9,CHEMBL207718,0
Q9UGJ0,CHEMBL207718,0
Q9Y478,CHEMBL207718,0
O00141,CHEMBL207815,0
O14757,CHEMBL207815,0
O15264,CHEMBL207815,0
O43741,CHEMBL207815,0
O75116,CHEMBL207815,0
P00533,CHEMBL207815,1
P06239,CHEMBL207815,0
P12931,CHEMBL207815,0
P17612,CHEMBL207815,0
P22612,CHEMBL207815,0
P22694,CHEMBL207815,0
P28482,CHEMBL207815,0
P35968,CHEMBL207815,0
P45983,CHEMBL207815,0
P45984,CHEMBL207815,0
P49841,CHEMBL207815,0
P53778,CHEMBL207815,0
P53779,CHEMBL207815,0
P54619,CHEMBL207815,0
P54646,CHEMBL207815,0
Q13131,CHEMBL207815,0
Q15759,CHEMBL207815,0
Q16539,CHEMBL207815,0
Q9UGI9,CHEMBL207815,0
Q9UGJ0,CHEMBL207815,0
Q9Y478,CHEMBL207815,0
O00141,CHEMBL208048,0
O14757,CHEMBL208048,0
O15264,CHEMBL208048,0
O43741,CHEMBL208048,0
O75116,CHEMBL208048,0
P00533,CHEMBL208048,1
P06239,CHEMBL208048,0
P12931,CHEMBL208048,0
P17612,CHEMBL208048,0
P22612,CHEMBL208048,0
P22694,CHEMBL208048,0
P28482,CHEMBL208048,0
P35968,CHEMBL208048,0
P45983,CHEMBL208048,0
P45984,CHEMBL208048,0
P49841,CHEMBL208048,0
P53778,CHEMBL208048,0
P53779,CHEMBL208048,0
P54619,CHEMBL208048,0
P54646,CHEMBL208048,0
Q13131,CHEMBL208048,0
Q15759,CHEMBL208048,0
Q16539,CHEMBL208048,0
Q9UGI9,CHEMBL208048,0
Q9UGJ0,CHEMBL208048,0
Q9Y478,CHEMBL208048,0
O00141,CHEMBL208118,0
O14757,CHEMBL208118,0
O15264,CHEMBL208118,0
O43741,CHEMBL208118,0
O75116,CHEMBL208118,0
P00533,CHEMBL208118,1
P06239,CHEMBL208118,0
P12931,CHEMBL208118,0
P17612,CHEMBL208118,0
P22612,CHEMBL208118,0
P22694,CHEMBL208118,0
P28482,CHEMBL208118,0
P35968,CHEMBL208118,0
P45983,CHEMBL208118,0
P45984,CHEMBL208118,0
P49841,CHEMBL208118,0
P53778,CHEMBL208118,0
P53779,CHEMBL208118,0
P54619,CHEMBL208118,0
P54646,CHEMBL208118,0
Q13131,CHEMBL208118,0
Q15759,CHEMBL208118,0
Q16539,CHEMBL208118,0
Q9UGI9,CHEMBL208118,0
Q9UGJ0,CHEMBL208118,0
Q9Y478,CHEMBL208118,0
O00141,CHEMBL208286,0
O14757,CHEMBL208286,0
O15264,CHEMBL208286,0
O43741,CHEMBL208286,0
O75116,CHEMBL208286,0
P00533,CHEMBL208286,1
P06239,CHEMBL208286,0
P12931,CHEMBL208286,0
P17612,CHEMBL208286,0
P22612,CHEMBL208286,0
P22694,CHEMBL208286,0
P28482,CHEMBL208286,0
P35968,CHEMBL208286,0
P45983,CHEMBL208286,0
P45984,CHEMBL208286,0
P49841,CHEMBL208286,0
P53778,CHEMBL208286,0
P53779,CHEMBL208286,0
P54619,CHEMBL208286,0
P54646,CHEMBL208286,0
Q13131,CHEMBL208286,0
Q15759,CHEMBL208286,0
Q16539,CHEMBL208286,0
Q9UGI9,CHEMBL208286,0
Q9UGJ0,CHEMBL208286,0
Q9Y478,CHEMBL208286,0
O00141,CHEMBL208292,0
O14757,CHEMBL208292,0
O15264,CHEMBL208292,0
O43741,CHEMBL208292,0
O75116,CHEMBL208292,0
P00533,CHEMBL208292,1
P06239,CHEMBL208292,0
P12931,CHEMBL208292,0
P17612,CHEMBL208292,0
P22612,CHEMBL208292,0
P22694,CHEMBL208292,0
P28482,CHEMBL208292,0
P35968,CHEMBL208292,0
P45983,CHEMBL208292,0
P45984,CHEMBL208292,0
P49841,CHEMBL208292,0
P53778,CHEMBL208292,0
P53779,CHEMBL208292,0
P54619,CHEMBL208292,0
P54646,CHEMBL208292,0
Q13131,CHEMBL208292,0
Q15759,CHEMBL208292,0
Q16539,CHEMBL208292,0
Q9UGI9,CHEMBL208292,0
Q9UGJ0,CHEMBL208292,0
Q9Y478,CHEMBL208292,0
O00141,CHEMBL208637,0
