drug_id,uniprot_id,interaction
DB00568,P35367,1
DB00770,P43115,1
DB01134,P08235,1
DB00491,P08183,0
DB13520,P28221,1
DB08454,P25101,0
DB03906,Q12791,0
DB01054,Q13698,1
DB01162,P35348,1
DB11743,P14416,0
DB00837,P03366,0
DB00187,P29274,0
DB06151,P04293,0
DB01594,P14867,1
DB12783,P20711,1
DB12509,P54619,1
DB01295,P14416,1
DB01355,P14416,0
DB11274,Q14524,0
DB06786,P41145,0
DB11275,P10275,0
DB00216,P9WGR1,0
DB14050,Q13131,0
DB13720,P11229,1
DB14596,O95718,1
DB14539,P04150,1
DB00632,P03200,1
DB00509,P23415,0
DB12557,P03372,0
DB00331,Q9Y478,1
DB00201,P41145,0
DB09084,O60895,0
DB05645,P00738,1
DB14010,P41595,1
DB02352,Q16539,1
DB04828,P13631,0
DB11838,Q08499,1
DB12355,O00206,0
DB13616,P07477,1
DB14715,P12821,0
DB04930,P14324,0
DB00288,P11229,0
DB05187,Q07869,1
DB00594,P51170,1
DB11315,P15328,0
DB00432,P04818,1
DB07645,P69905,1
DB11327,P16581,0
DB07556,P45452,1
DB00216,P30939,1
DB06786,P23219,0
DB01454,P31645,1
DB12273,Q08499,0
DB00543,P23975,1
DB01205,P14867,1
DB03614,P31645,0
DB12843,P13637,1
DB00648,P03372,1
DB12025,P45984,0
DB11753,P9WGY9,1
DB00266,Q9BQB6,1
DB15493,Q8IXJ6,1
DB02828,P13716,1
DB08157,P20035,0
DB00203,O76074,1
DB07187,P15121,1
DB14065,P50613,0
DB11947,P50613,0
DB09272,Q9NZ42,0
DB08135,P35408,0
DB13094,P35462,0
DB00361,O75469,0
DB00611,P41145,1
DB00889,P08912,0
DB12099,Q96IY4,1
DB00608,Q16570,1
DB14766,Q9U8D3,0
DB09181,P11712,0
DB00237,O14965,0
DB00304,P06401,1
DB00382,P09874,0
DB00288,P00519,0
DB14065,Q14524,1
DB04745,Q9UBS5,0
DB06134,O14965,1
DB04879,Q04609,0
DB06554,O14764,1
DB01791,Q07343,1
DB08371,P03372,0
DB00767,P11229,1
DB00223,P07339,0
DB03877,Q92633,0
DB01264,Q9Y271,0
DB06725,Q15858,0
DB01643,P11229,0
DB02010,O14920,1
DB00247,Q8DR59,0
DB11704,Q14416,0
DB00635,P04150,1
DB07954,P0DMS8,1
DB08577,P22607,1
DB00355,P05193,1
DB06871,P03372,1
DB01066,P0A3M6,1
DB11943,P08172,0
DB12263,P12931,0
DB09167,P20309,1
DB09167,P08912,1
DB04769,O14757,0
DB00934,P23975,1
DB04209,Q9H2S1,1
DB17129,P06276,0
DB14596,P04278,0
DB09060,P62593,1
DB09017,P14867,1
DB15038,Q9Y2T6,0
DB06442,Q13489,0
DB04615,P49286,0
DB01567,P31644,1
DB01354,P31644,1
DB02463,P07477,1
DB12686,P24941,1
DB12509,Q9Y478,1
DB07352,P14061,1
DB08912,P15056,1
DB12531,Q13698,0
DB13616,P00742,1
DB06477,P00374,0
DB08003,P18031,1
DB13166,P12821,1
DB16272,P16109,0
DB03921,P14416,0
DB12266,P28335,0
DB08633,P43405,0
DB13063,Q04206,1
DB08883,P42261,1
DB11641,P07437,1
DB15640,P07101,0
DB12746,P36888,1
DB02495,Q13547,0
DB00627,O95470,0
DB02132,Q15822,0
DB14846,P48736,1
DB01239,P14416,1
DB15652,P02585,0
DB09289,P31645,1
DB01233,P14416,1
DB09174,P35372,1
DB01884,P27487,1
DB13059,P08588,0
DB08883,P42262,1
DB16849,Q15822,0
DB01048,Q72547,1
DB03847,P00742,1
DB00905,P43115,1
DB11741,P10721,1
DB01548,P35372,1
DB01183,P41143,1
DB04152,P35354,0
DB01173,P28335,0
DB17851,Q04609,1
DB01431,P16066,0
DB13431,P49789,0
DB11901,Q9UM73,0
DB01416,P0AD68,1
DB00823,Q05397,0
DB12417,P27487,1
DB12193,P01375,1
DB00106,P30968,1
DB09227,P41145,0
DB04867,Q13698,0
DB11651,Q12809,0
DB07954,O00408,1
DB05608,P22830,0
DB06694,P17948,0
DB01331,P08908,0
DB12361,P08908,1
DB07954,Q07343,1
DB05812,Q71U36,0
DB00678,P30556,1
DB16335,P0AD65,1
DB04862,P20035,0
DB00308,P28074,0
DB02402,Q09428,0
DB04365,P34896,0
DB13931,P23975,1
DB01100,P35348,0
DB06685,Q13546,0
DB15640,P27815,1
DB06764,P35348,1
DB04581,P15538,1
DB11706,Q15858,1
DB04409,Q8TCU5,0
DB17506,P15917,0
DB06624,Q05940,0
DB15334,Q08499,0
DB00177,P30556,1
DB00387,P20309,1
DB01280,P23219,0
DB16495,P22303,0
DB04462,P35354,0
DB01956,Q9UBX1,0
DB00812,P36507,0
DB00710,P06239,0
DB12071,P41595,1
DB08873,P26664,1
DB00252,P0A3M6,0
DB11673,Q15109,1
DB02452,P35354,0
DB11632,Q06187,0
DB04426,P16109,1
DB17851,P25021,0
DB03268,P12931,1
DB06412,P48169,0
DB19083,P28223,1
DB00204,P35462,0
DB00739,P0A3M6,1
DB00182,Q01959,1
DB08312,P24941,1
DB14543,P04083,1
DB04652,P43681,0
DB01142,P00533,0
DB00370,P28223,1
DB04716,P29597,1
DB15275,P42336,1
DB14581,Q13233,0
DB01364,P00734,0
DB01351,P14867,1
DB00633,P08913,1
DB01234,P04150,1
DB07382,O75460,1
DB00604,Q13639,1
DB09543,O75762,1
DB08951,P08581,0
DB01579,P35372,0
DB17277,P18505,0
DB00317,P00533,1
DB00308,Q12809,1
DB02071,P45452,1
DB02655,P30968,0
DB03083,P17948,0
DB02383,P14867,0
DB01130,P11474,1
DB01222,P04150,1
DB04855,P08913,1
DB00887,Q08493,0
DB00568,Q13698,1
DB14069,P18031,0
DB09068,P46098,1
DB07954,Q05397,0
DB04723,Q96IY4,1
DB06233,P42345,1
DB16061,P50579,0
DB14025,Q8DR59,0
DB12883,P35354,0
DB01158,P23219,0
DB01259,O00418,1
DB00216,Q8TCU5,0
DB00252,P03372,0
DB17041,P09619,1
DB06788,P27907,0
DB04865,P39023,1
DB18267,P00918,0
DB11376,Q06124,0
DB08814,P07949,0
DB11327,P35228,1
DB00498,Q9BQB6,1
DB17191,Q16288,1
DB16849,P24228,0
DB00456,Q8TCU5,0
DB08837,P22001,1
DB12288,Q14654,0
DB13074,Q92847,1
DB03485,P02788,1
DB04014,Q92542,0
DB11798,P41143,0
DB00316,O00555,0
DB00586,P08254,0
DB00422,Q01959,1
DB11977,P08581,1
DB01021,P05023,1
DB11704,P11229,0
DB00509,Q16620,0
DB11859,P18507,1
DB16159,Q9NZ42,1
DB09241,P29475,1
DB02797,P17787,0
DB12883,P28335,1
DB01100,P12883,0
DB04575,Q8WW43,0
DB16073,P11274,0
DB00370,P00918,0
DB04566,P14416,0
DB04286,P0DMS8,0
DB07662,Q8WW43,0
DB08782,P22748,1
DB01392,P21554,0
DB00747,P11229,1
DB12643,P37288,1
DB01021,P55017,1
DB00189,P14867,1
DB09389,P06401,1
DB12549,Q02880,1
DB11800,P09619,1
DB01331,P02919,1
DB02884,O14757,0
DB13036,P06493,0
DB14890,P11597,1
DB00470,P14867,0
DB08838,Q00975,1
DB07352,P12931,0
DB11838,P18825,0
DB03148,P34998,0
DB00285,P23975,1
DB00507,P00747,0
DB15124,P14416,0
DB09209,P35968,0
DB01150,P21802,0
DB09198,P00734,0
DB04858,P04035,0
DB01101,P04818,1
DB00456,O43837,0
DB11947,P14416,1
DB14669,P9WGR1,0
DB00611,P25779,0
DB01339,Q15822,1
DB06685,P23219,0
DB14010,P11229,0
DB02324,P04183,1
DB13751,P35372,0
DB00570,P36888,0
DB18794,P09619,0
DB02999,P41594,1
DB00363,P17948,0
DB01567,P18507,1
DB03948,P12268,1
DB12057,P18825,1
DB12566,P52333,1
DB05969,P24941,1
DB09009,P35498,1
DB01405,P0A0K8,1
DB12500,P36888,1
DB01245,Q08493,0
DB03466,P51168,0
DB01621,O43497,0
DB17051,P28223,0
DB12332,P24941,0
DB09154,P22748,1
DB01337,Q15822,1
DB03910,P35228,1
DB01062,P08172,1
DB16032,P03366,1
DB00274,Q92731,0
DB00508,P21728,1
DB01613,P16066,1
DB13036,P21731,1
DB15071,P43116,1
DB03279,P06401,0
DB17032,Q01959,1
DB15407,O00329,1
DB02471,P08588,0
DB02795,P04054,1
DB01047,P09467,0
DB16266,Q01959,0
DB13616,P00747,1
DB00368,P07550,1
DB14773,P15056,1
DB00647,P41143,1
DB01159,O43451,0
DB01484,P08908,1
DB13437,P14867,1
DB00594,P00441,0
DB04493,O00757,1
DB14086,P00918,1
DB00159,P37231,1
DB13810,Q99720,1
DB11999,Q02880,1
DB08683,Q07343,0
DB06436,P16234,1
DB00336,P06715,1
DB12818,P35348,0
DB13930,P29323,1
DB12072,P48443,0
DB06594,P28335,1
DB01202,P05026,0
DB00246,P28223,1
DB00887,Q9H2X9,1
DB04855,P48735,0
DB08388,P45452,1
DB04908,P25092,0
DB04795,P23141,1
DB02402,Q9HBH1,1
DB12478,P35462,1
DB08094,P29475,0
DB01901,P17540,0
DB08896,Q16647,0
DB19255,P28335,0
DB08815,P28223,1
DB02087,P00918,1
DB04224,P07148,1
DB06334,P04818,0
DB02329,P32320,0
DB00714,P00734,0
DB11651,P48736,1
DB01392,P14416,0
DB01062,P20309,1
DB01328,P24228,1
DB05219,Q08499,1
DB11828,P24941,0
DB01483,P25021,0
DB00939,Q9UP95,0
DB12263,P49768,1
DB11838,P27815,1
DB12054,P25101,1
DB01597,P11511,0
DB16324,P11474,0
DB15126,P08172,0
DB01054,P08246,0
DB08896,P11362,1
DB12082,P11229,0
DB06077,P14416,1
DB00704,P35372,1
DB01782,Q00975,0
DB04272,P36888,0
DB14946,Q03431,1
DB19201,P30530,1
DB09167,P0AFI2,0
DB00430,P08506,1
DB06494,P30968,1
DB13044,P10415,1
DB12074,P24941,0
DB18011,P02792,0
DB00210,P48443,1
DB01833,P29474,1
DB00427,P35367,1
DB01051,P27815,0
DB01571,P29275,0
DB00537,P0A0K8,1
DB01079,Q13639,1
DB04080,P12931,1
DB08040,P06493,0
DB00813,P35372,1
DB11718,P45984,1
DB12505,P17301,1
DB06948,P47989,0
DB19277,P25779,0
DB06090,O14965,0
DB16218,P04746,0
DB02994,Q01726,0
DB00685,P02919,0
DB06457,P35367,1
DB03777,P05129,1
DB08865,P08581,1
DB11893,Q96BI3,1
DB01734,P18031,1
DB03220,P00813,1
DB09383,P04150,1
DB00819,P14416,0
DB12890,Q92731,0
DB14803,Q01959,0
DB03000,O00311,0
DB01535,P41143,1
DB12566,P09874,0
DB00649,P20839,0
DB00278,P00734,1
DB00535,P08149,1
DB04272,P00808,1
DB06786,P62508,1
DB00297,O76074,0
DB12418,P00918,1
DB15971,P14416,1
DB06802,P11388,0
DB04920,Q13698,1
DB01401,P51168,0
DB09202,P10721,0
DB00809,P08172,1
DB01120,Q09428,1
DB12781,P23219,0
DB06808,P35348,0
DB00456,P26664,0
DB00631,P23219,0
DB04839,P10275,1
DB09074,P17252,0
DB02810,P07550,0
DB01238,Q9Y5Y9,0
DB02795,P10613,0
DB00562,P05026,0
DB06973,Q05586,0
DB12059,Q14416,1
DB11698,P26664,0
DB00014,P07949,0
DB00247,P28223,1
DB12390,Q03181,1
DB11793,P43166,0
DB11712,Q96GD4,0
DB12161,Q05940,1
DB00246,P08908,1
DB00277,O14757,0
DB12323,P04150,0
DB00599,Q05586,0
DB06519,Q96S37,0
DB08846,Q16790,1
DB06233,P14867,0
DB14911,P49765,1
DB13978,P10613,0
DB01452,P35372,1
DB02727,P29475,1
DB19168,P13945,0
DB16133,O60674,1
DB18794,P35462,1
DB02824,P09960,0
DB02116,P35348,0
DB06709,Q9U8D3,0
DB11845,P11362,1
DB00990,P11511,1
DB00688,P43116,1
DB06236,P08506,0
DB06213,P08172,0
DB02266,P10275,1
DB08632,P69905,1
DB00412,P37231,1
DB11582,P98194,0
DB11750,P04054,1
DB14840,P09619,1
DB09195,Q72874,0
DB00668,O00329,0
DB01354,P23219,0
DB00766,P03433,0
DB06195,P50870,0
DB00489,P08588,1
DB06436,P35968,1
DB07767,O43570,1
DB00230,P54289,1
DB06345,P34913,1
DB08922,P07148,0
DB04149,Q07343,1
DB16943,P41594,1
DB00741,P04083,1
DB14976,P04150,1
DB03305,P29475,1
DB02116,P28074,0
DB06712,Q13936,1
DB08896,P41594,0
DB00806,P29274,1
DB00977,P45984,0
DB12648,P35228,1
DB17053,Q13547,1
DB06518,P17252,0
DB07050,Q16790,1
DB00795,P24752,1
DB06701,P43088,0
DB00513,P00747,1
DB05490,P37231,1
DB15492,P14416,1
DB13616,Q07820,0
DB01214,P08588,1
DB00909,P35354,0
DB00629,P07101,0
DB05650,Q00535,0
DB00849,P29474,0
DB06685,P24941,0
DB05938,P05067,1
DB16874,P48736,0
DB16214,P50406,1
DB00140,P30043,1
DB08954,P03420,0
DB09000,P34969,1
DB09300,P20309,1
DB06230,P41145,1
DB08896,Q16853,0
DB00909,Q8IWT1,1
DB02616,P00813,1
DB00768,P35367,1
DB08231,P00519,1
DB11870,P56282,0
DB00663,P04150,1
DB12072,Q01959,0
DB17041,P21728,0
DB01119,P28223,0
DB07292,P39900,0
DB06262,P08588,1
DB03065,P29474,1
DB05119,P04183,1
DB16146,P08235,0
DB00238,Q92731,0
DB09167,P31645,1
DB11725,O00555,0
DB00981,P22303,1
DB11906,P07947,0
DB12141,Q00975,0
DB12095,P17752,1
DB08899,P10275,1
DB08877,Q03405,1
DB02659,P23141,1
DB00430,P13945,0
DB15971,P35367,1
DB12116,P21589,0
DB09050,P0AD65,1
DB04044,P11217,1
DB01445,Q02763,0
DB12647,Q14524,0
DB09151,P37231,0
DB03336,P07148,0
DB04967,P11387,1
DB01147,P00918,0
DB12129,P49841,1
DB13874,Q04206,0
DB02633,O60760,1
DB04607,P24941,1
DB06788,P30968,1
DB00568,P11473,0
DB06134,Q9UQB9,1
DB15092,P55157,0
DB01200,P14416,1
DB04855,P03366,0
DB04879,Q16881,0
DB01392,P18089,1
DB07954,P27815,1
DB18122,P48736,0
DB00819,Q9ULX7,1
DB14104,P68400,0
DB12804,P07437,0
DB00981,P04049,0
DB07658,P36888,0
DB19353,P36544,1
DB15092,P54289,0
DB07476,P00915,1
DB07027,P10613,0
DB00866,P08908,1
DB17023,P10415,1
DB01535,P35372,1
DB07027,P23975,0
DB00430,Q07806,1
DB01691,Q15118,0
DB00482,P23280,0
DB12799,P36544,0
DB06614,P27907,1
DB01606,P00807,1
DB09196,P28223,1
DB00462,P04150,0
DB06604,P08473,1
DB12693,P41595,1
DB04452,P14416,0
DB00619,O00329,0
DB12924,P0A0K8,1
DB01159,P12931,0
DB03756,P28702,1
DB11896,P27361,0
DB15003,P23458,1
DB00545,P06276,1
DB00233,P35348,0
DB00917,P43115,1
DB00889,P53779,0
DB13191,P12277,1
DB01168,Q96GD4,0
DB18267,P21589,0
DB07352,P41145,0
DB14596,Q5JUK3,0
DB00165,P05067,0
DB01463,Q01959,1
DB16232,P24941,1
DB16995,P10275,0
DB00425,P08908,0
DB01130,O95718,1
DB07556,P03956,1
DB13520,Q02880,0
DB16877,P23219,1
DB01689,P15121,1
DB00383,P08912,1
DB09084,P16083,0
DB11861,P52732,1
DB04137,P30793,1
DB00978,P11388,1
DB12340,P14416,0
DB12005,P21397,0
DB14575,P37231,0
DB06605,P00918,0
DB12757,P22102,1
DB01545,P14867,1
DB12290,P28335,1
DB07593,Q13224,0
DB16274,O76083,1
DB11741,P09619,1
DB01571,P41145,1
DB08896,P15056,1
DB06743,P35228,0
DB00786,Q8TDV5,0
DB00458,P35226,0
DB08084,P36888,0
DB00619,Q06187,0
DB00337,Q08209,1
DB02207,Q08209,0
DB05053,P48167,0
DB13720,O76083,0
DB04967,P11388,1
DB05964,P23975,1
DB01408,P07550,1
DB12429,P28482,1
DB09088,P35498,1
DB12988,Q07869,1
DB15406,P10275,0
DB11845,Q96RI1,0
DB01630,O00305,0
DB09227,Q13936,1
DB01445,P05067,0
DB13495,P06276,0
DB11936,P30793,0
DB11910,Q9Y5N1,1
DB08201,P32297,0
DB09034,P24228,0
DB00663,P29275,0
DB04854,P47989,1
DB01954,O76074,1
DB01793,P49841,1
DB06706,P35348,1
DB02463,P15121,0
DB06218,P26663,0
DB12890,P21728,1
DB14070,P00742,0
DB14581,Q15910,1
DB12598,P00742,1
DB12920,P37231,0
DB00360,P23975,0
DB06397,O76083,0
DB14064,P08183,1
DB12295,P24941,0
DB03140,O76074,0
DB17097,P50213,1
DB08339,P09619,1
DB08811,Q9Y233,1
DB12235,P28223,0
DB01186,P21728,1
DB12085,P35228,0
DB00675,P14416,0
DB08950,P18089,1
DB06926,P21397,0
DB01320,Q14524,1
DB03060,Q14145,0
DB01026,P05093,1
DB05513,P23219,0
DB11755,P41143,0
DB12141,P36888,1
DB00508,P41595,1
DB00659,Q05586,1
DB07556,P00918,1
DB00819,P00918,1
DB01148,P08912,1
DB17022,P47712,1
DB16845,P22455,1
DB00810,Q00975,0
DB00668,P18089,1
DB08133,P24941,1
DB00388,P14416,1
DB02260,P31749,0
DB04881,Q14432,0
DB15581,Q00534,1
DB00381,Q9P0X4,1
DB00952,P35968,0
DB14010,P28335,1
DB17197,O14965,1
DB00368,P18825,1
DB00339,P9WGR1,1
DB11845,Q99720,0
DB00786,P39900,1
DB08896,P35916,1
DB07553,Q13547,1
DB06486,P31749,1
DB07050,Q9ULX7,1
DB16332,P11388,0
DB19168,P11474,1
DB09204,Q96RI1,0
DB01601,Q72874,1
DB00276,P28223,0
DB03283,P22303,1
DB11393,P07948,0
DB12818,P15692,1
DB02733,Q02750,0
DB01205,P34903,1
DB06461,P15692,1
DB00147,P41145,0
DB09060,P08506,0
DB06144,P30518,0
DB00922,Q14654,1
DB01623,P14416,1
DB00285,P00533,0
DB06262,P13945,1
DB03788,P10828,1
DB08254,P68826,0
DB00190,P20711,1
DB13995,P08912,0
DB00694,P11388,1
DB18794,O76074,0
DB07724,P15692,0
DB15012,P42261,1
DB00936,P07550,0
DB00714,Q92731,0
DB15194,P43119,0
DB02613,Q08210,1
DB01319,Q72874,1
DB03814,P54619,0
DB04556,P22303,1
DB00537,P20831,1
DB03721,P16109,1
DB11650,P27815,1
DB00217,P37231,0
DB00968,P20711,1
DB15096,P0AES6,0
DB00355,P0AD68,1
DB08039,P11511,0
DB07425,P11229,1
DB13262,P35869,0
DB14061,P07550,0
DB02272,O60674,0
DB12167,P04818,0
DB01549,Q8TCU5,1
DB06698,P35367,1
DB19210,P25025,1
DB00788,P35354,1
DB06469,P36888,1
DB05964,P30542,0
DB00273,Q13936,1
DB00248,P14416,1
DB09092,P50213,1
DB00219,P11229,1
DB16101,P47989,1
DB01591,P10827,0
DB17749,Q16570,1
DB16315,P47870,0
DB17277,P49137,1
DB12623,P43116,1
DB16064,P02753,0
DB08922,P28223,1
DB01489,O43570,0
DB01104,P06858,0
DB08874,Q18BX5,1
DB01395,P20309,0
DB09242,P18825,1
DB05219,Q08493,1
DB17056,Q9UM73,0
DB08807,P08588,1
DB11734,P30518,1
DB04576,P23219,0
DB08897,P11229,1
DB01347,P30556,1
DB00193,Q15722,0
DB12803,P10613,0
DB03722,P09874,1
DB00652,Q99720,1
DB12451,P49069,1
DB15256,P25101,0
DB12611,P01137,0
DB00852,Q09428,0
DB15186,P48736,1
DB00253,P04150,1
DB00486,P34972,1
DB00114,P00734,1
DB06706,Q05940,1
DB04152,P39086,1
DB01415,Q00975,0
DB17506,P43681,0
DB00491,P03366,0
DB00852,P0A0K8,0
DB00574,Q99720,1
DB00817,P31391,0
DB15382,Q92731,0
DB03270,P00918,1
DB00818,P47870,1
DB12354,P21554,0
DB13308,P23219,1
DB00740,Q14524,1
DB03127,P07477,1
DB00905,P07550,0
DB13262,P20309,1
DB01189,P23415,1
DB13495,P21554,1
DB19094,P41145,1
DB00753,P14867,1
DB06156,P21802,0
DB09129,P06213,1
DB04224,P15090,1
DB06712,Q08289,1
DB15568,P01116,1
DB14844,P14416,1
DB01767,P07101,0
DB01915,P18031,1
DB15673,P04585,1
DB11947,P00742,0
DB01621,Q9Y6A2,0
DB01065,P11387,0
DB11892,P0AD65,0
DB04487,P02778,1
DB17977,Q07820,1
DB11671,O00591,0
DB00387,P0A953,0
DB06741,Q08210,0
DB16217,O00329,1
DB00306,P47869,1
DB07621,Q13255,0
DB04665,P31644,0
DB00398,P04293,0
DB14010,P35348,0
DB06518,Q16539,1
DB00686,P09038,1
DB09099,P35372,1
DB03791,P31213,0
DB09091,Q92769,1
DB19243,O96013,1
DB03535,P03366,0
DB16095,Q13489,1
DB08084,O75762,0
DB12418,P00915,1
DB12141,P30530,1
DB00382,P06276,1
DB16063,Q9UGN5,1
DB15954,P98170,0
DB04577,P31639,0
DB06538,P62942,0
DB11633,P50859,1
DB13967,P02768,1
DB09217,P35354,1
DB01014,O43570,0
DB12491,P50336,0
DB00300,Q72547,1
DB13063,P41594,0
DB07430,P49137,1
DB14010,P14867,0
DB09019,Q96EB6,0
DB00786,P10145,0
DB16205,P43681,1
DB08089,P35354,0
DB14918,Q16637,1
DB17063,P14867,1
DB08806,P25021,1
DB04139,P03366,0
DB16233,P23219,0
DB02567,P09619,1
DB03523,P25101,0
DB00430,P13866,0
DB12328,P62136,1
DB08839,P08908,1
DB00578,P0AEB2,1
DB12710,P14416,1
DB18107,P00519,0
DB08484,P00813,0
DB00627,P30542,0
DB12831,P03952,1
DB02216,P27815,0
DB09078,P16234,1
DB16927,P21728,1
DB11718,P53779,1
DB11838,P0AEB2,0
DB08052,P51681,0
DB14086,P00915,1
DB11920,P22303,0
DB07496,P34913,1
DB01156,Q01959,1
DB01239,O60885,0
DB15102,Q9HBH1,0
DB08849,P0AC13,0
DB05467,Q9Y5N1,0
DB13716,O75762,1
DB00379,P01137,0
DB01176,P35367,1
DB08814,Q9Y233,1
DB03707,P29475,1
DB16305,P14416,0
DB00622,Q08289,1
DB08865,P13569,0
DB07352,Q00534,1
DB16056,Q16620,1
DB09079,O14757,0
DB11642,Q9Y5N1,1
DB18782,Q96RI1,1
DB11773,Q8TDV5,1
DB01268,P29371,0
DB13262,P08172,1
DB00563,P41440,1
DB14020,P17787,0
DB01014,P09917,1
DB11629,Q13639,0
DB00240,O75530,0
DB00747,P08912,1
DB00936,P11229,0
DB16112,P13945,1
DB00527,Q9Y5Y9,1
DB03877,P54284,0
DB05171,Q8WW43,1
DB16961,P46925,1
DB13616,P08908,0
DB00517,P08172,1
DB14212,O75762,1
DB03691,Q9UBX1,1
DB01205,P35348,0
DB08918,P11388,0
DB03147,Q15822,0
DB17507,Q8WW43,0
DB00281,P08684,0
DB00819,Q92769,0
DB00253,O95718,1
DB00712,Q7L0J3,0
DB03144,P35228,1
DB03661,P07711,1
DB00794,P52732,0
DB14128,P37231,0
DB00311,Q8NET8,0
DB03672,P04150,0
DB13005,Q02880,0
DB12789,P43116,1
DB13083,P21452,1
DB06436,P09619,1
DB01227,Q07343,0
DB00987,P17169,0
DB00434,Q08493,0
DB11278,P14867,0
DB07145,P69905,0
DB16447,P10415,1
DB06461,P48169,0
DB01053,P02919,1
DB09079,Q99835,0
DB04841,O00555,1
DB16300,Q02108,1
DB04714,P14324,1
DB05219,Q9UM73,0
