drug_id,uniprot_id,interaction
DB00321,P28223,1
DB08368,P15085,1
DB02261,P25105,1
DB02138,P41143,0
DB06211,Q9Y478,0
DB07778,P18031,0
DB06882,P43166,0
DB03753,P23219,1
DB12627,P11229,0
DB01977,P00846,0
DB14766,Q9H228,1
DB07084,P30518,0
DB00795,P22303,0
DB12110,P41595,1
DB08596,P07998,1
DB02010,P30968,0
DB00514,P01556,0
DB03215,P48443,0
DB09049,P35372,1
DB04395,P25101,0
DB08128,P08908,0
DB02888,P06968,0
DB03147,P43403,0
DB02151,P95780,0
DB00143,Q7RTV2,1
DB06786,P11474,1
DB00863,P22303,1
DB03451,P11473,1
DB08839,Q8TDS4,0
DB06211,P0AC13,1
DB00363,P28566,1
DB03360,P62330,0
DB02988,Q9U8D3,0
DB07401,O14957,1
DB04066,P22748,1
DB12710,P14416,1
DB02763,P29460,1
DB01208,P0A0K8,1
DB08134,P24941,1
DB03381,P07108,1
DB04388,Q88K39,1
DB02431,P20248,0
DB00750,P13000,0
DB00367,P08908,0
DB00158,P41440,1
DB08864,O75469,1
DB01248,Q9H4B7,1
DB00823,P0ABP8,0
DB03661,Q5MYR6,1
DB03247,P34913,0
DB06538,P19793,0
DB03152,O85361,0
DB00822,P05091,1
DB00712,P23219,1
DB11638,P18825,0
DB01628,P35354,1
DB00956,P49286,0
DB14823,P37288,1
DB07811,Q16539,1
DB03897,P31012,1
DB06486,P05771,1
DB08555,P30556,0
DB01930,P9WIL5,1
DB11960,P08912,1
DB00604,P28223,1
DB02326,O00519,0
DB00925,P35348,1
DB08383,Q72874,0
DB00997,P55210,0
DB09060,P62593,1
DB04924,P14416,1
DB07859,P31751,1
DB13665,P15085,0
DB01346,P07550,0
DB08289,P01834,1
DB09343,O15144,0
DB03148,P00929,0
DB15035,Q13639,0
DB04465,P01375,0
DB11638,P02763,0
DB00692,Q14654,1
DB00514,P15559,0
DB02105,P21964,1
DB08795,Q56310,0
DB07031,P13631,1
DB08486,P68871,1
DB04395,P23677,1
DB02401,O33199,0
DB12242,O14757,1
DB11672,P22748,1
DB03297,P46098,0
DB00523,P10276,1
DB06235,Q46604,0
DB07729,P51168,0
DB03496,Q00535,1
DB00696,P04179,0
DB11638,Q8IM74,1
DB12643,P08912,0
DB00166,P31013,0
DB01238,P08172,1
DB07455,O33199,0
DB04272,O75390,1
DB00514,P41145,1
DB01535,P41143,1
DB00487,O00483,0
DB02381,Q84EX5,0
DB02797,P05230,0
DB00774,P43166,1
DB00190,P20711,1
DB08612,Q9UKY3,1
DB09061,P07148,0
DB07360,P15121,0
DB01236,P31939,0
DB04926,Q08210,0
DB01202,P46098,1
DB06202,P52961,0
DB01115,Q08289,1
DB03814,P17169,1
DB09047,P23219,0
DB03799,P00959,1
DB08271,Q9Y2T6,0
DB00755,Q14081,1
DB07004,P61160,0
DB06174,Q99720,1
DB14011,P21554,1
DB14010,P0AD63,0
DB00367,Q06187,0
DB16227,Q9Y271,1
DB14886,P29966,1
DB11675,P04083,0
DB01023,P54750,1
DB01910,P14385,1
DB00228,Q16739,0
DB04137,Q8N142,1
DB18866,Q06187,1
DB03359,Q8NF37,0
DB00320,P50406,0
DB01254,O43681,0
DB01351,P17787,0
DB03147,P49768,0
DB01163,P08908,0
DB03693,P10145,0
DB07932,P06239,0
DB12643,P30518,1
DB02823,P21728,0
DB03013,P45984,0
DB03461,O60218,1
DB06914,Q00987,0
DB04716,P35367,0
DB06506,P08908,1
DB04315,O66145,0
DB09149,P08908,0
DB00157,P14060,1
DB01057,P06276,1
DB02659,Q8TDU6,1
DB15357,P20309,1
DB00596,O95718,1
DB07712,P03372,1
DB01224,P00734,0
DB08856,P35372,1
DB12381,O35000,0
DB08807,Q9Y271,0
DB00514,P0A953,0
DB09128,P28335,0
DB01888,P24941,1
DB03814,P0A8X2,0
DB00424,P11229,1
DB04136,P00734,1
DB05351,O94760,1
DB00157,P05177,0
DB12010,P32247,0
DB00926,P21283,0
DB02218,P00509,0
DB03026,P00374,0
DB02007,P26276,1
DB03600,O00519,0
DB02027,P00811,0
DB02580,P22303,0
DB03161,Q8GIQ0,1
DB01327,P0A1X3,0
DB04233,Q9K597,1
DB08497,P09467,0
DB04425,P56740,1
DB01972,P49773,1
DB04272,O14757,0
DB02977,P18031,1
DB04522,Q03721,1
DB04870,P16544,0
DB06216,Q12908,0
DB00154,Q9Y243,0
DB08222,P42330,0
DB04451,Q13131,0
DB00797,P35348,1
DB12756,Q07812,1
DB08728,P02768,0
DB14856,P05412,0
DB16943,P37288,0
DB00185,P20309,1
DB11619,P37840,0
DB02119,P26281,1
DB03230,Q8ZKF6,1
DB00205,P00374,1
DB01205,Q72547,0
DB15097,P04350,0
DB01195,Q16654,0
DB00193,P19711,0
DB00201,Q04760,0
DB00436,P41595,0
DB00129,P11086,0
DB00408,Q9NXA8,0
DB04879,Q00987,0
DB02772,P28472,0
DB09065,P46663,0
DB16833,Q9H244,1
DB11201,P62593,0
DB00171,P13702,0
DB01010,P06276,1
DB13310,P29275,0
DB05265,P0C1V1,0
DB07273,Q9XB61,0
DB01189,O15379,0
DB04530,Q9Y2Q3,0
DB03308,P43133,1
DB15334,P41143,0
DB08669,P0AE18,1
DB03382,P16455,0
DB02996,Q96RJ0,0
DB08107,P14060,0
DB01174,P43681,1
DB02633,P15559,1
DB07780,P60472,1
DB01897,P08758,0
DB00363,P21917,1
DB07761,O75469,0
DB03161,P07288,0
DB00845,P51681,0
DB02950,P18089,0
DB02930,P16118,1
DB01066,Q13639,0
DB03975,P06008,0
DB07098,P08912,0
DB01231,P20309,1
DB16073,P03372,0
DB14911,P15692,1
DB03389,Q9UGN5,0
DB08181,P22629,1
DB00721,P08192,0
DB01207,P24557,1
DB12869,P51813,0
DB11638,P26790,0
DB02342,P04798,1
DB03816,P00959,1
DB01702,P42971,0
DB11455,P42574,0
DB11962,P36946,0
DB11638,P49286,0
DB07305,P0AE18,1
DB03624,Q07412,0
DB00572,P17787,1
DB01577,P08913,1
DB01645,P03886,0
DB02894,P00918,1
DB02901,T1RTG8,0
DB00303,P69905,0
DB15275,Q92731,0
DB13495,P21554,1
DB06948,P20248,1
DB01365,P14416,1
DB12341,Q9BY32,0
DB09401,Q02108,1
DB07225,P07858,1
DB19177,P03372,0
DB00142,Q9I7A8,0
DB02031,O34453,1
DB00897,P9WGR1,0
DB01163,P30542,0
DB04918,Q7DHH4,1
DB00142,Q13547,0
DB03814,P04424,1
DB00753,P30049,1
DB08732,P00183,0
DB04237,P09172,0
DB01820,P36544,0
DB00503,P14324,0
DB05223,Q05513,0
DB01392,P28222,1
DB06738,P35372,1
DB00909,P01112,0
DB09061,P15559,1
DB01941,P28702,1
DB11741,P04818,0
DB00157,O75438,1
DB01236,P23415,1
DB05422,P06276,0
DB12289,P00742,1
DB00132,P0AD65,0
DB02379,P0C0Y7,0
DB03147,P07771,1
DB07919,O43781,1
DB07524,P11309,1
DB08231,P09142,1
DB12946,Q01959,0
DB06641,P31749,1
DB00767,Q46079,0
DB00686,P0AEK4,0
DB00157,P03951,0
DB01606,P05091,0
DB04519,P0A953,1
DB12010,Q13555,1
DB00786,P08912,0
DB06543,P25963,1
DB05838,P30518,1
DB00363,Q1LCS4,0
DB03389,P08909,0
DB17856,P0A953,0
DB02379,P26466,1
DB08893,P08588,1
DB02185,Q6UWM7,1
DB11274,P69908,0
DB04669,P24941,1
DB02659,P14193,0
DB12478,P21917,1
DB12279,Q13547,1
DB04442,P07477,1
DB12924,Q99572,0
DB04201,P60906,1
DB02745,P35354,0
DB01019,P05981,0
DB03060,Q9HBH1,1
DB03117,P52045,1
DB02161,P0A3M6,0
DB02052,P0ABP8,0
DB00248,P61626,0
DB08217,P06730,1
DB12128,P37231,0
DB00855,P08254,0
DB03793,Q5PXQ6,1
DB04845,Q13509,1
DB19283,P23219,1
DB01331,Q9H244,0
DB00988,P21918,1
DB12760,P30542,1
DB01221,P02144,0
DB04872,P29371,1
DB07894,P0AD68,0
DB08549,P18031,1
DB02482,P35348,0
DB00268,P35462,1
DB03470,O14965,0
DB02327,Q16836,0
DB01601,P0AEB2,0
DB01727,Q04771,0
DB00854,P41145,1
DB04636,Q16769,1
DB01622,P21728,1
DB04597,P00797,0
DB04447,Q9ZEU2,1
DB11323,P23219,1
DB02839,P42685,0
DB09262,P11229,1
DB06414,Q72547,1
DB00678,P19235,1
DB16267,P08913,0
DB07733,P23786,0
DB02431,P03372,0
DB12853,O00204,0
DB04315,P15531,1
DB00381,P00749,0
DB06228,P30542,0
DB08249,P28790,1
DB11755,P07477,0
DB01863,O43739,1
DB07803,P00807,1
DB11638,Q08170,1
DB01108,P14060,1
DB00332,P11229,1
DB12101,Q96SW2,1
DB07771,P49354,1
DB04092,P15034,1
DB08864,P62593,0
DB03305,P35462,0
DB11741,P06820,0
DB00908,Q9Y257,1
DB00717,P30556,0
DB00759,C9EH48,1
DB04885,P46098,1
DB01191,P31645,1
DB12695,P27348,1
DB02082,Q92930,1
DB07527,P00734,1
DB03909,Q14534,0
DB04395,P0A884,0
DB07263,P18031,1
DB03461,Q15067,0
DB06295,P14867,0
DB07846,P08908,0
DB07586,Q9BY41,1
DB01407,P01138,1
DB07149,P00918,0
DB03814,O14757,0
DB14859,P41145,0
DB12681,P01111,1
DB00295,P35462,0
DB03277,Q9RHZ6,1
DB11327,Q01581,0
DB04464,P07173,1
DB07010,P28482,1
DB12695,Q9NR28,1
DB03814,Q84FH6,1
DB00288,P53350,0
DB04209,P00749,0
DB00242,P11511,0
DB14596,O34667,0
DB03544,P69795,1
DB00543,P35367,1
DB01614,P28223,1
DB14845,P23975,0
DB02098,P28335,0
DB12682,P04531,0
DB08424,Q16539,1
DB17039,P04637,1
DB06436,Q14376,0
DB04338,P49810,0
DB07636,P49189,0
DB07769,P80404,0
DB02379,P04278,0
DB00942,P11229,1
DB00806,P29274,1
DB03156,Q8VVD2,1
DB03570,Q5SHF5,1
DB03064,Q9ULW8,0
DB04315,P41091,1
DB07496,P34913,1
DB05266,Q96CA5,0
DB06973,Q92731,1
DB04315,P27695,0
DB07091,P35462,0
DB15169,P23975,0
DB04066,P20309,0
DB00157,Q06110,0
DB06931,Q8TDS4,0
DB04540,P35398,1
DB12598,P00734,1
DB04244,P41595,0
DB03389,Q15102,0
DB03748,P08254,0
DB11359,P02768,1
DB00277,P07919,0
DB08150,P17612,1
DB02341,P08588,0
DB01233,P11229,1
DB07859,P17612,1
DB01496,Q01201,0
DB00882,P53554,0
DB04842,P14416,1
DB00960,P17612,0
DB04101,P24941,1
DB00589,O14965,0
DB08439,P35354,1
DB04312,Q14457,0
DB08363,P04637,1
DB12263,P43235,0
DB00148,P12532,1
DB02512,O95169,0
DB06694,P16435,0
DB12513,P08172,0
DB09093,P29422,1
DB11638,Q7KQL5,1
DB14541,P04083,1
DB01812,Q92731,0
DB00328,P35354,1
DB03258,P18031,0
DB03869,P23975,0
DB08377,P01857,1
DB00851,Q14376,0
DB02073,P30043,1
DB00751,Q46705,0
DB11893,Q8WW43,1
DB01452,P35368,0
DB12116,P04054,0
DB12843,P10415,1
DB01242,P28335,1
DB09085,P0A884,0
DB08839,P77173,0
DB00936,P09917,0
DB02282,P14751,1
DB09097,P20309,0
DB02033,Q9Y243,0
DB00522,P05981,1
DB12010,Q8SPQ9,0
DB08219,P24941,1
DB03077,P34913,0
DB07481,P28720,1
DB07553,P41143,0
DB14635,P25100,0
DB06470,Q99928,1
DB18515,Q9LCX9,0
DB07048,P00918,1
DB00548,P14679,1
DB05992,P00749,0
DB04890,P31645,0
DB03472,Q01201,0
DB04350,Q13231,1
DB00417,Q8XJ01,1
DB03413,P68400,0
DB07219,Q9L5C8,0
DB16447,Q07812,1
DB01717,P07477,0
DB03435,P41143,0
DB00151,P21728,0
DB00780,P21397,1
DB07016,P00734,1
DB07754,P41440,0
DB18773,Q9P0J0,1
DB03800,P14867,0
DB02835,P36871,1
DB00248,P35348,1
DB08231,P55055,0
DB06645,Q13547,0
DB08500,P11473,0
DB12783,Q13639,0
DB05010,Q9UBX1,0
DB02425,P35348,0
DB04216,P48047,0
DB03310,P08263,1
DB00457,P24182,0
DB00963,P23219,1
DB02053,Q84CU3,1
DB00182,P31645,1
DB03222,P07071,1
DB00463,P36544,1
DB15227,Q06187,1
DB17052,P28222,1
DB03651,P28222,0
DB04202,P05091,1
DB08220,Q96RI1,1
DB08249,P07097,0
DB01352,Q16445,1
DB03709,P41052,1
DB09212,P19622,0
DB12010,Q96Q40,1
DB01031,P00918,1
DB07519,P43235,0
DB04400,P07101,1
DB03726,P07998,1
DB00342,P20309,1
DB00594,P00749,1
DB06817,P20339,0
DB00909,Q15822,0
DB12010,P06276,0
DB00142,P14061,0
DB00228,Q9HBL8,0
DB12010,Q9P289,1
DB04839,P07288,1
DB08234,Q81R22,1
DB01992,P69903,1
DB03379,P60174,1
DB08324,P05231,0
DB00297,O68874,0
DB07950,P16113,0
DB11619,P56122,0
DB01050,P23219,1
DB08690,P0A6M2,1
DB02076,P46859,1
DB07297,P06239,1
DB04542,Q00534,0
DB02069,P00918,1
DB06246,P41145,0
DB04855,Q9UG56,0
DB01580,P11474,0
DB08562,P50406,0
DB04918,P43235,0
DB04400,P61457,1
DB06738,P09917,0
DB00732,P35372,0
DB03785,P13702,1
DB01016,P31644,0
DB02054,P35348,0
DB17101,A0A6L8PBX8,0
DB11684,P35372,0
DB11942,Q9HBH1,0
DB06538,P08908,1
DB04447,P09382,1
DB01800,P15273,1
DB13070,P21554,1
DB01614,P08908,1
DB00470,P34972,1
DB04315,P28482,0
DB02379,Q79G13,1
DB04646,P83797,1
DB12686,P11802,1
DB11692,P29371,1
DB03309,Q08209,0
DB06410,P11473,1
DB15035,P05362,0
DB15063,P00918,0
DB03164,P07617,1
DB02890,P49238,0
DB00363,P08172,1
DB03953,P43681,0
DB05970,P35557,1
DB02261,P03886,0
DB04761,P45452,1
DB13174,Q16445,0
DB00320,P30939,1
DB06153,P08908,1
DB16126,Q02153,1
DB14538,P11226,0
DB09236,P00395,0
DB00457,P18089,1
DB07037,O14757,1
DB03558,P01834,0
DB04147,P06010,1
DB00157,P00338,1
DB02726,Q07412,1
DB00321,P15531,0
DB00303,P43116,0
DB02377,P0DMS8,0
DB00311,P07451,1
DB11186,P08172,0
DB03685,P41007,1
DB07377,P50579,1
DB13025,P08908,1
DB00552,Q9NSA0,0
DB00619,Q13547,0
DB07490,P0A8Q3,1
DB12819,Q9NZ42,1
DB06965,P08908,0
DB01536,P14060,1
DB08220,P43235,0
DB13665,P35348,1
DB12010,Q16816,1
DB00167,P54687,1
DB07428,P9WGR1,0
DB00909,P35348,0
DB12271,P29274,0
DB02240,P28593,1
DB02709,P09769,0
DB08215,P08729,0
DB02506,P0A076,0
DB01163,O75390,0
DB03091,O77323,0
DB04147,P03956,0
DB06121,P11511,0
DB00142,P48048,0
DB08932,P24530,1
DB04789,P48728,1
DB09223,P14416,1
DB11181,P08172,1
DB00663,P34896,0
DB04771,P37231,0
DB09327,P04818,1
DB01338,P20309,1
DB07167,P07477,0
DB07102,Q02750,0
DB09272,P35372,1
DB14001,O76054,1
DB07761,P11229,0
DB02506,P24941,0
DB08490,P03956,1
DB15796,P17174,0
DB02772,P83689,1
DB02125,P00183,1
DB09389,P21728,0
DB00273,P00915,1
DB04288,P24941,1
DB00726,P04818,0
DB07648,P25025,0
DB02451,Q5SJ80,1
DB00622,P35368,1
DB00241,Q16445,1
DB03991,P14867,0
DB17053,P23975,0
DB07320,O14757,1
DB05721,Q99928,1
DB03389,P36924,1
DB02625,Q8I372,1
DB09167,P27695,0
DB05785,P13631,1
DB08461,Q8WX39,0
DB12572,P34998,1
DB15499,P43405,1
DB01057,P22303,1
DB00837,P11229,0
DB07927,P00811,1
DB00986,P08588,0
DB01985,Q05581,1
DB03100,P09960,0
DB03800,P23975,0
DB03162,P12931,0
DB00837,Q08289,0
DB04216,Q820T1,0
DB03369,Q00441,1
DB03758,Q15120,1
DB05416,Q02127,0
DB07776,P37231,0
DB03619,P44801,0
DB04169,P28720,1
DB09195,Q9BXI2,0
DB09290,P46098,1
DB00565,P08172,1
DB12010,P09211,0
DB12714,Q92731,0
DB01353,P17412,0
DB13952,P43681,1
DB07488,Q9Y6M4,1
DB04335,P08172,0
DB00155,P28221,0
DB04137,P11124,1
DB04799,P15538,0
DB08745,P00742,1
DB01239,Q9UEE5,0
DB01436,P19793,1
DB15348,P31645,1
DB07933,P03372,1
DB06950,Q5G940,1
DB04272,P21964,0
DB08453,P36544,0
DB00132,P12931,0
DB04448,P00326,1
DB00485,Q75Y35,1
DB17029,Q01201,1
DB00720,P9WIQ1,0
DB00184,P30926,1
DB00489,P08588,1
DB03846,P9WKE1,1
DB00521,P16083,0
DB04085,P04054,0
DB04036,P26440,1
DB00431,Q7SIE9,0
DB00456,P9WNX1,0
DB00376,P08912,1
DB01771,P07477,1
DB02379,Q07982,1
DB00166,Q9Y234,1
DB12327,P29274,0
DB04216,P60709,1
DB07494,Q494W8,1
DB00517,O75469,0
DB16351,P28335,1
DB08837,P0A884,0
DB07776,P14867,1
DB04058,P60327,1
DB08651,P08172,0
DB05465,P14416,0
DB00157,P45452,0
DB19094,P17538,0
DB03128,P55055,0
DB00408,P23975,1
DB01108,P03372,1
DB06625,Q53IN1,0
DB01151,P08913,1
DB00563,P04818,1
DB00408,P09488,0
DB01717,P84139,1
DB04821,Q8II73,0
DB00759,Q9UM07,1
DB00446,P24093,1
DB02379,P0AEE5,1
DB08848,P48066,1
DB04237,P0ABQ4,0
DB00563,Q07412,0
DB00725,Q9L5C8,0
DB00143,P10620,1
DB08362,Q13557,0
DB01221,P41145,1
DB13720,P04278,0
DB03705,P0AC13,1
DB12010,P78356,1
DB00457,P28161,0
DB04272,P30556,0
DB07533,P22629,0
DB07582,P54709,0
DB16927,P21728,1
DB03958,Q96C86,1
DB00937,Q01959,1
DB03247,Q53ZE5,1
DB06706,P35348,1
DB04905,Q6PKH6,0
DB12686,P24941,1
DB07559,Q02127,1
DB05767,Q13133,0
DB04645,Q07869,0
DB03403,P49137,0
DB00408,P34969,1
DB00937,P14416,0
DB03740,Q8VVD2,0
DB02263,P21728,0
DB00320,P28222,1
DB09244,P08913,1
DB02196,P61158,0
DB00208,Q9H244,1
DB08185,P17291,1
DB08471,P9WMC1,1
DB01614,P21728,1
DB00195,P07550,1
DB04152,P07550,0
DB08837,Q86W47,1
DB08231,Q9Y5N1,0
DB00458,P08908,1
DB04751,P46926,0
DB02445,P46926,1
DB00543,P35030,0
DB08662,P29460,0
DB00837,O14957,0
DB09202,P25100,1
DB12010,P22303,0
DB02843,P19926,1
DB06207,P03372,0
DB06732,P10589,1
DB08371,P18031,1
DB09151,Q12908,0
DB06016,P35367,1
DB07704,P28720,1
DB02482,P08100,1
DB02613,P54317,1
DB07808,Q9L5C8,1
DB03855,Q03181,0
DB02746,P37231,1
DB02883,P0A6I0,1
DB12348,Q16790,1
DB04563,P07477,1
DB02114,Q9UNI1,1
DB02301,P12461,1
DB12072,P07947,0
DB08195,P25774,1
DB01124,P14416,0
DB07637,P23975,0
DB12010,Q9Y463,1
DB00195,P08588,1
DB07814,Q05603,0
DB03654,P22262,1
DB19094,Q14573,0
DB00482,P47205,0
DB08396,P03372,0
DB05395,P13945,1
DB03553,Q83QN9,0
DB06016,Q13639,0
DB00157,P24941,0
DB00543,P10515,0
DB04551,P30613,1
DB11665,P30556,0
DB00456,Q9NZK7,0
DB16833,P43133,0
DB06595,P31645,0
DB12151,P23415,0
DB03401,P23975,0
DB07266,P02929,0
DB02659,O77361,0
DB08605,P58558,0
DB08550,P18089,1
DB01227,P30926,1
DB00368,Q00534,0
DB03178,P35346,0
DB15233,P43133,0
DB07435,P14193,0
DB11638,P04792,1
DB00363,Q9NYX4,1
DB16822,P25025,1
DB00431,P18505,1
DB02705,P35348,0
DB04095,P30988,0
DB00669,P28221,1
DB07160,P07858,1
DB01604,Q8XJ01,1
DB11644,P02766,1
DB11186,P13716,0
DB07841,P53609,1
DB00543,Q9H3N8,1
DB02379,Q9RX51,1
DB11817,Q9UGN5,0
DB02515,P05062,1
DB01632,P20035,1
DB00647,Q96RI1,0
DB00157,P80365,1
DB06982,P63208,1
DB04464,P00749,0
DB01752,P21918,0
DB16754,A8MPY1,1
DB03740,P00390,0
DB06153,P28335,1
DB13994,P47869,1
DB07678,P53350,0
DB11148,Q99720,0
DB03803,P47869,0
DB04141,P60844,0
DB08768,Q05603,0
DB11855,Q79FX8,0
DB02035,P50897,1
DB04575,P03372,1
DB02772,P9WPF1,0
DB09213,P06493,0
DB00228,Q01959,0
DB07681,Q07869,0
DB00320,P41595,1
DB00692,P08913,1
DB04519,P25025,0
DB03496,P50750,1
DB01062,P71278,0
DB00157,P10515,1
DB08364,P30542,0
DB00736,P17735,0
DB04813,O85465,0
DB16893,Q9Y5N1,1
DB11764,P18031,0
DB11638,Q8IJ74,1
DB00308,Q06432,1
DB03039,P00918,1
DB04920,P14867,0
DB11181,O34453,0
DB12946,P29275,1
DB08077,P69905,1
DB09118,P05177,0
DB00834,Q9BVS4,0
DB00531,P41143,0
DB14011,P41143,1
DB08235,P15121,0
DB11428,P68871,0
DB12010,P04049,1
DB11638,Q00080,1
DB07646,P08253,0
DB00157,P07360,0
DB00983,P07550,1
DB01077,P05141,1
DB01620,Q9H3N8,1
DB02038,P28305,1
DB14649,P25100,0
DB08332,P01857,1
DB08329,P00918,1
DB04216,Q9Y230,1
DB07501,P20645,0
DB07295,Q59931,0
DB07137,P20248,1
DB14033,P0AC13,1
DB04256,P07477,0
DB08144,P24182,1
DB02742,Q9UKM7,1
DB02467,P0AEX9,0
DB00351,P00929,0
DB11638,P50914,1
DB13345,P18825,1
DB07303,O67854,0
DB06358,P0ABQ4,1
DB04855,P11926,0
DB00852,P60568,1
DB01915,Q08257,0
DB00537,P06746,0
DB03447,P07998,1
DB12527,P01834,0
DB00523,Q6V0L0,1
DB02494,Q06187,0
DB05171,P11229,0
DB01750,P15559,0
DB09194,P28335,1
DB14065,O75469,0
DB05171,P60472,0
DB00270,P60472,0
DB07050,Q59560,0
DB00953,P08172,0
DB07375,P01834,1
DB00246,P20309,1
DB00788,P23219,1
DB07463,P42768,0
DB08301,P00918,1
DB13869,Q16539,0
DB13750,P22303,1
DB02555,P60568,1
DB11994,P05181,1
DB00363,P09211,1
DB08777,P10599,0
DB08653,P21397,1
DB05943,Q9GZZ6,0
DB04464,P50406,0
DB01565,P00797,0
DB01244,P51787,1
DB11911,P01137,1
DB06897,P53350,1
DB01709,P13929,1
DB11638,Q8IM16,1
DB03793,Q01234,1
DB08375,P00811,1
DB07796,P24941,0
DB02540,P21453,0
DB00244,P37231,1
DB00869,P20309,0
DB04720,P68400,1
DB07763,P50406,0
DB00608,P01375,1
DB16214,P14867,0
DB00188,P28074,1
DB03796,Q9RC92,0
DB12416,P00797,1
DB04447,P00352,1
DB03738,Q93RD8,0
DB07393,P00390,1
DB11254,P35367,0
DB06486,O14965,1
DB12010,Q9Y2H1,1
DB07738,P56817,1
DB06678,P00797,0
DB03667,P23219,1
DB00726,P28221,1
DB07524,P35348,0
DB11181,P20309,1
DB00157,P07327,1
